Name,State,Control,Region,Enrollment
CUNY City College,NY,Public,Northeast,12480
University of Hawaii at Manoa,HI,Public,West,12583
Eastern Kentucky University,KY,Public,Southeast,12750
University of New Hampshire-Main Campus,NH,Public,Northeast,12847
Rochester Institute of Technology,NY,Private,Northeast,12858
University of Alabama at Birmingham,AL,Public,Southeast,12866
California State University-Dominguez Hills,CA,Public,West,13258
University of Massachusetts-Lowell,MA,Public,Northeast,13284
SUNY at Albany,NY,Public,Northeast,13320
Northern Illinois University,IL,Public,Midwest,13430
California State University-East Bay,CA,Public,West,13433
Troy University,AL,Public,Southeast,13634
Florida Gulf Coast University,FL,Public,Southeast,13636
Northeastern University,MA,Private,Northeast,13666
Binghamton University,NY,Public,Northeast,13702
CUNY Brooklyn College,NY,Public,Northeast,13712
Bowling Green State University-Main Campus,OH,Public,Midwest,13790
University of North Florida,FL,Public,Southeast,13962
University of Rhode Island,RI,Public,Northeast,14008
Universidad Ana G. Mendez-Gurabo Campus,PR,Private,Territory,14061
University of North Carolina Wilmington,NC,Public,Southeast,14183
West Chester University of Pennsylvania,PA,Public,Northeast,14223
University of Central Oklahoma,OK,Public,West,14267
Baylor University,TX,Private,West,14284
Montana State University,MT,Public,West,14383
California State University-San Marcos,CA,Public,West,14516
Western Kentucky University,KY,Public,Southeast,14529
University of Louisville,KY,Public,Southeast,14550
DePaul University,IL,Private,Midwest,14591
University of Louisiana at Lafayette,LA,Public,Southeast,14753
Syracuse University,NY,Private,Northeast,14788
Georgia Institute of Technology-Main Campus,GA,Public,Southeast,14810
Cornell University,NY,Private,Northeast,14815
Western Washington University,WA,Public,West,14876
CUNY Bernard M Baruch College,NY,Public,Northeast,14903
University of Akron Main Campus,OH,Public,Midwest,15047
Rowan University,NJ,Public,Northeast,15089
University of Toledo,OH,Public,Midwest,15109
Drexel University,PA,Private,Northeast,15335
Oakland University,MI,Public,Midwest,15562
CUNY Queens College,NY,Public,Northeast,15762
CUNY Hunter College,NY,Public,Northeast,15820
University of Memphis,TN,Public,Southeast,15901
University of North Carolina at Greensboro,NC,Public,Southeast,15988
University of Virginia-Main Campus,VA,Public,Southeast,16207
Boise State University,ID,Public,West,16265
Ball State University,IN,Public,Midwest,16277
Eastern Michigan University,MI,Public,Midwest,16536
California State University-Chico,CA,Public,West,16546
Montclair State University,NJ,Public,Northeast,16673
Boston University,MA,Private,Northeast,16716
Wayne State University,MI,Public,Midwest,16768
Miami University-Oxford,OH,Public,Midwest,16816
Appalachian State University,NC,Public,Southeast,16888
Weber State University,UT,Public,West,16947
Georgia Southern University,GA,Public,Southeast,17062
University of North Georgia,GA,Public,Southeast,17067
Stony Brook University,NY,Public,Northeast,17215
Missouri State University-Springfield,MO,Public,Midwest,17371
Central Michigan University,MI,Public,Midwest,17489
University of California-Santa Cruz,CA,Public,West,17577
Western Michigan University,MI,Public,Midwest,17704
Mississippi State University,MS,Public,Southeast,17723
University of Nevada-Reno,NV,Public,West,17930
California State University-San Bernardino,CA,Public,West,18088
Kansas State University,KS,Public,Midwest,18171
Illinois State University,IL,Public,Midwest,18264
The University of Texas at Dallas,TX,Public,West,18375
Sam Houston State University,TX,Public,West,18416
University of Mississippi,MS,Public,Southeast,18537
Portland State University,OR,Public,West,18585
Middle Tennessee State University,TN,Public,Southeast,18600
University of North Carolina at Chapel Hill,NC,Public,Southeast,18658
University of Kansas,KS,Public,Midwest,18903
University of New Mexico-Main Campus,NM,Public,West,18912
University of Connecticut,CT,Public,Northeast,18930
University of Southern California,CA,Private,West,18942
University of Delaware,DE,Public,Northeast,18948
Metropolitan State University of Denver,CO,Public,West,18968
University of Illinois at Chicago,IL,Public,Midwest,19106
University of Pittsburgh-Pittsburgh Campus,PA,Public,Northeast,19134
University of Oregon,OR,Public,West,19163
Clemson University,SC,Public,Southeast,19172
Old Dominion University,VA,Public,Southeast,19364
Towson University,MD,Public,Northeast,19367
University of Wisconsin-Milwaukee,WI,Public,Midwest,19436
James Madison University,VA,Public,Southeast,19666
University of California-Riverside,CA,Public,West,20044
University at Buffalo,NY,Public,Northeast,20735
Oklahoma State University-Main Campus,OK,Public,West,20743
Indiana University-Purdue University-Indianapolis,IN,Public,Midwest,20870
University of Nebraska-Lincoln,NE,Public,Midwest,20954
The University of Texas at El Paso,TX,Public,West,21216
California Polytechnic State University-San Luis Obispo,CA,Public,West,21303
Utah State University,UT,Public,West,21473
University of Oklahoma-Norman Campus,OK,Public,West,21536
West Virginia University,WV,Public,Southeast,21703
Grand Valley State University,MI,Public,Midwest,21837
California State University-Fresno,CA,Public,West,21877
University of Kentucky,KY,Public,Southeast,22078
The University of Tennessee-Knoxville,TN,Public,Southeast,22151
University of California-Santa Barbara,CA,Public,West,22181
Virginia Commonwealth University,VA,Public,Southeast,22393
